borough_name,borough_code,% in employment who are employees - aged 16+,% in employment who are self employed - aged 16+
Camden,E09000007,78.3,21.5
City of London,E09000001,73.0,27.0
Hackney,E09000012,82.6,16.8
Hammersmith and Fulham,E09000013,83.3,16.0
Islington,E09000019,83.2,16.7
Kensington and Chelsea,E09000020,69.4,27.4
Lambeth,E09000022,83.2,16.0
Newham,E09000025,79.8,19.9
Southwark,E09000028,79.8,20.0
Tower Hamlets,E09000030,83.9,15.6
Wandsworth,E09000032,79.7,19.4
Westminster,E09000033,77.5,22.3
