borough_name,borough_code,% with NVQ1 only - aged 16-64,% with NVQ2 only - aged 16-64,% with NVQ3 only - aged 16-64,% with NVQ4+ - aged 16-64,% with other qualifications (NVQ) - aged 16-64,% with no qualifications (NVQ) - aged 16-64
Camden,E09000007,6.5,8.1,9.3,60.9,7.6,6.7
City of London,E09000001,,,,100.0,,
Hackney,E09000012,6.2,8.6,10.4,57.4,5.5,10.8
Hammersmith and Fulham,E09000013,2.8,5.8,10.2,70.0,5.7,4.7
Islington,E09000019,3.6,8.6,8.9,61.7,5.8,10.5
Kensington and Chelsea,E09000020,4.2,6.3,13.7,65.5,4.9,4.7
Lambeth,E09000022,5.7,8.5,10.7,63.8,5.9,4.3
Newham,E09000025,8.1,11.1,11.3,44.0,14.8,10.1
Southwark,E09000028,5.0,9.6,12.0,62.0,5.1,5.4
Tower Hamlets,E09000030,2.2,9.0,9.7,60.5,8.3,9.7
Wandsworth,E09000032,3.3,6.4,6.2,71.6,8.0,4.1
Westminster,E09000033,4.2,5.7,11.5,65.5,6.9,5.8
